Year,Make,Model,Engine,Viscosity,Capacity
2004,Audi,A6 QUATTRO,4.2L 8 -cyl Engine Code [L] C,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","8 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,A8 QUATTRO,4.2L 8 -cyl Engine Code [L] C,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","7.9 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,ALLROAD QUATTRO,2.7L 6 -cyl Engine Code [D] BEL APB D Turbo,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","6.9 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,ALLROAD QUATTRO,4.2L 8 -cyl Engine Code [L] C,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","8 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,RS6,4.2L 8 -cyl Engine Code BCY 6 Turbo,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)",8 quarts. . . (with filter)After refill check oil level.
2004,Audi,S4,4.2L 8 -cyl Engine Code BHF 0,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","9.5 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,S4,4.2L 8 -cyl Engine Code BHF AYS B,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","9.5 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,TT,1.8L 4 -cyl Engine Code [C] AMB AWP A Turbo,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","4.8 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,TT QUATTRO,1.8L 4 -cyl Engine Code BEA 1 Turbo,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","4.8 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,Audi,TT QUATTRO,3.2L 6 -cyl Engine Code BHE 7,"5W-40, 5W-30, 0W-40, 0W-30 (All TEMPS)","5.8 quarts. . . (with filter)Add 0.5L (0.5 qt) less than capacity shown, start engine,let run until operating temperature is approx. 60 C (140 F), switch engine off,wait 3 minutes, check dipstick, fill to full mark as indicated on dipstick. May be more or less than 0.5L(0.5qt) depending on model."
2004,BMW,320i,2.2L 6 -cyl Engine Code M54 4,N/A,N/A
2004,BMW,325Ci,2.5L 6 -cyl Engine Code M54 3,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,325Ci,2.5L 6 -cyl Engine Code M56 B25 6,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,325i,2.5L 6 -cyl Engine Code M54 3,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,325i,2.5L 6 -cyl Engine Code M56 B25 6,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,325xi,2.5L 6 -cyl Engine Code M54 3,"5W-30, 0W-30 (All TEMPS)",7.9 quarts. . . (with filter). W/ SCOSAfter refill check oil level.
2004,BMW,330Ci,3.0L 6 -cyl Engine Code M54 8,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,330i,3.0L 6 -cyl Engine Code M54 8,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,330xi,3.0L 6 -cyl Engine Code M54 8,"5W-30, 0W-30 (All TEMPS)",7.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,525i,2.5L 6 -cyl Engine Code M54 3,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,530i,3.0L 6 -cyl Engine Code M54 8,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,545i,4.4L 8 -cyl Engine Code N62 B44 B,"5W-30, 0W-30 (All TEMPS)",8.5 quarts. . . (with filter)After refill check oil level.
2004,BMW,645Ci,4.4L 8 -cyl Engine Code N62 B44 B,"5W-30, 0W-30 (All TEMPS)",8.5 quarts. . . (with filter)After refill check oil level.
2004,BMW,745Li,4.4L 8 -cyl Engine Code N62 B44 B,"5W-30, 0W-30 (All TEMPS)",8.5 quarts. . . (with filter)After refill check oil level.
2004,BMW,745i,4.4L 8 -cyl Engine Code N62 B44 B,"5W-30, 0W-30 (All TEMPS)",8.5 quarts. . . (with filter)After refill check oil level.
2004,BMW,760Li,6.0L 12-cyl Engine Code N73 B60 C,"5W-30, 0W-30 (All TEMPS)",9 quarts. . . (with filter)After refill check oil level.
2004,BMW,760i,6.0L 12-cyl Engine Code N73 B60 C,"5W-30, 0W-30 (All TEMPS)",9 quarts. . . (with filter)After refill check oil level.
2004,BMW,M3,3.2L 6 -cyl Engine Code S54 B32 M,10W-60 (All TEMPS),"5.8 quarts. . . (with filter)To check the oil level, the engine must be at full operating temperature,let the engine idle for at least 15 seconds.Turn off engine.Wait at least 1 minute for oil to drain into sump Check the level using the dipstick."
2004,BMW,X3,2.5L 6 -cyl Engine Code M54 3,"5W-30, 0W-30 (All TEMPS)",6.6 quarts. . . (with filter)After refill check oil level.
2004,BMW,X3,3.0L 6 -cyl Engine Code M54 8,"5W-30, 0W-30 (All TEMPS)",6.6 quarts. . . (with filter)After refill check oil level.
2004,BMW,X5,3.0L 6 -cyl Engine Code M54 8,"5W-30, 0W-30 (All TEMPS)",7.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,X5,4.4L 8 -cyl Engine Code N62 E,"5W-30, 0W-30 (All TEMPS)",8.5 quarts. . . (with filter)After refill check oil level.
2004,BMW,X5,4.8L 8 -cyl Engine Code N62 B48 D,"5W-30, 0W-30 (All TEMPS)",8.5 quarts. . . (with filter)After refill check oil level.
2004,BMW,Z4,2.5L 6 -cyl Engine Code M54 3,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,BMW,Z4,3.0L 6 -cyl Engine Code M54 8,"5W-30, 0W-30 (All TEMPS)",6.9 quarts. . . (with filter)After refill check oil level.
2004,Buick,CENTURY,3.1L 6 -cyl Engine Code [J] LG8 J,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Buick,LESABRE,3.8L 6 -cyl Engine Code [K] L36 K,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Buick,PARK AVENUE,3.8L 6 -cyl Engine Code [1] L67 1,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Buick,PARK AVENUE,3.8L 6 -cyl Engine Code [K] L36 K,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Buick,RAINIER,4.2L 6 -cyl Engine Code [S] S,10W-30 (Above -18),7 quarts. . . (with filter)After refill check oil level.
2004,Buick,RAINIER,5.3L 8 -cyl Engine Code [P] LM4 P,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Buick,REGAL,3.8L 6 -cyl Engine Code [1] L67 1,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Buick,REGAL,3.8L 6 -cyl Engine Code [K] L36 K,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Buick,RENDEZVOUS,3.4L 6 -cyl Engine Code [E] E,0W-30 (Below -29),4.5 quarts. . . (with filter)After refill check oil level.
2004,Buick,RENDEZVOUS,3.6L 6 -cyl Engine Code [7] 7,0W-30 (Below -29),5.5 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,CTS,3.2L 6 -cyl Engine Code [N] N,10W-30 (Above -18),5.1 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,CTS,3.6L 6 -cyl Engine Code [7] 7,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,CTS,5.7L 8 -cyl Engine Code [S] S,10W-30 (Above -18),6.4 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,DEVILLE,4.6L 8 -cyl Engine Code [9] L37 9,10W-30 (Above -18),7.5 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,DEVILLE,4.6L 8 -cyl Engine Code [Y] LD8 Y,10W-30 (Above -18),7.5 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,ESCALADE,5.3L 8 -cyl Engine Code [T] LM7 T,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,ESCALADE,6.0L 8 -cyl Engine Code [N] LQ9 1,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,ESCALADE ESV,6.0L 8 -cyl Engine Code [N] LQ9 1,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,ESCALADE EXT,6.0L 8 -cyl Engine Code [N] LQ9 1,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,SEVILLE,4.6L 8 -cyl Engine Code [9] L37 9,10W-30 (Above -18),7.5 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,SEVILLE,4.6L 8 -cyl Engine Code [Y] LD8 Y,10W-30 (Above -18),7.5 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,SRX,3.6L 6 -cyl Engine Code [7] 7,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,SRX,4.6L 8 -cyl Engine Code [A] LH2 A,10W-30 (Above -18),8 quarts. . . (with filter)After refill check oil level.
2004,Cadillac,XLR,4.6L 8 -cyl Engine Code [A] LH2 A,10W-30 (Above -18),8 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,AVEO,1.6L 4 -cyl Engine Code [6] DOHC I4 6,0W-30 (Below -29),4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,CAVALIER,2.2L 4 -cyl Engine Code [6] 7,10W-30 (Above -18),4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,CAVALIER,2.2L 4 -cyl Engine Code [F] L61 F,10W-30 (Above -18),5.1 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,CLASSIC,2.2L 4 -cyl Engine Code [F] L61 F,10W-30 (Above -18),5.1 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,CORVETTE,5.7L 8 -cyl Engine Code [G] G,10W-30 (Above -18),6.4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,CORVETTE,5.7L 8 -cyl Engine Code [S] S,10W-30 (Above -18),6.4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,EPICA,2.5L 6 -cyl Engine Code [L] L,10W-30 (Above -18),6.8 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,IMPALA,3.4L 6 -cyl Engine Code [E] LA1 E,10W-30 (Above -18),4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,IMPALA,3.8L 6 -cyl Engine Code [1] L67 1,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,IMPALA,3.8L 6 -cyl Engine Code [K] L36 K,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,MALIBU,2.2L 4 -cyl Engine Code [F] L61 F,10W-30 (Above -18),5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,MALIBU,3.5L 6 -cyl Engine Code [8] 8,10W-30 (Above -18),4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,MALIBU MAXX,3.5L 6 -cyl Engine Code [8] 8,10W-30 (Above -18),4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,MONTE CARLO,3.4L 6 -cyl Engine Code [E] LA1 E,5W-30 (All TEMPS),4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,MONTE CARLO,3.8L 6 -cyl Engine Code [1] L67 1,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,MONTE CARLO,3.8L 6 -cyl Engine Code [K] L36 K,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,OPTRA,2.0L 4 -cyl Engine Code [Z] B,5W-30 (All TEMPS),4.2 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet,VENTURE MINI-VAN,3.4L 6 -cyl Engine Code [E] LA1 E,10W-30 (Above -18),4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,ASTRO VAN,4.3L 6 -cyl Engine Code [X] LU3 X,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,AVALANCHE 1500,5.3L 8 -cyl Engine Code [T] LM7 T,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,AVALANCHE 1500,8.1L 8 -cyl Engine Code [G] G,10W-30 (Above -18),6.4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,COLORADO,2.8L 4 -cyl Engine Code [8] 8,10W-30 (Above -18),5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,COLORADO,3.5L 5 -cyl Engine Code [6] 6,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 1500,4.3L 6 -cyl Engine Code [X] LU3 X,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 1500,5.3L 8 -cyl Engine Code [T] LM7 T,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 2500,4.3L 6 -cyl Engine Code [X] LU3 X,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 2500,4.8L 8 -cyl Engine Code [V] V,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 2500,5.3L 8 -cyl Engine Code [T] LM7 T,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 2500,6.0L 8 -cyl Engine Code [U] 9,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 2500,6.0L 8 -cyl Engine Code [U] U,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 3500,4.8L 8 -cyl Engine Code [V] V,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 3500,6.0L 8 -cyl Engine Code [U] 9,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,EXPRESS 3500,6.0L 8 -cyl Engine Code [U] U,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,S SERIES BLAZER,4.3L 6 -cyl Engine Code [X] LU3 X,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,S10 PICKUP,4.3L 6 -cyl Engine Code [X] LU3 X,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 1500 PICKUP,4.3L 6 -cyl Engine Code [X] LU3 X,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 1500 PICKUP,4.8L 8 -cyl Engine Code [V] V,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 1500 PICKUP,5.3L 8 -cyl Engine Code [T] LM7 E,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 1500 PICKUP,5.3L 8 -cyl Engine Code [T] LM7 T,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 1500 PICKUP,5.3L 8 -cyl Engine Code [Z] L59 Z Flex,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 1500 PICKUP,6.0L 8 -cyl Engine Code [N] LQ9 N,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 2500,6.0L 8 -cyl Engine Code [U] U,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,6.0L 8 -cyl Engine Code [U] 9,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,6.0L 8 -cyl Engine Code [U] U,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,6.6L 8 -cyl Engine Code [1] LB7 1 Diesel Turbo,"15W-40, 10W-30 (Above -18)",10 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,6.6L 8 -cyl Engine Code [2] LLY 2 Diesel Turbo,"15W-40, 10W-30 (Above -18)",10 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 2500 HD PICKUP,8.1L 8 -cyl Engine Code [G] G,10W-30 (Above -18),6.4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 3500 PICKUP,6.0L 8 -cyl Engine Code [U] 9,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 3500 PICKUP,6.0L 8 -cyl Engine Code [U] U,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 3500 PICKUP,6.6L 8 -cyl Engine Code [1] LB7 1 Diesel Turbo,"15W-40, 10W-30 (Above -18)",10 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 3500 PICKUP,6.6L 8 -cyl Engine Code [2] LLY 2 Diesel Turbo,"15W-40, 10W-30 (Above -18)",10 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SILVERADO 3500 PICKUP,8.1L 8 -cyl Engine Code [G] G,10W-30 (Above -18),6.4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SSR,5.3L 8 -cyl Engine Code [P] LM4 P,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SUBURBAN,5.3L 8 -cyl Engine Code [T] LM7 T,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SUBURBAN,5.3L 8 -cyl Engine Code [Z] L59 Z Flex,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SUBURBAN,6.0L 8 -cyl Engine Code [U] U,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,SUBURBAN,8.1L 8 -cyl Engine Code [G] G,10W-30 (Above -18),6.4 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,TAHOE,4.8L 8 -cyl Engine Code [V] V,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,TAHOE,5.3L 8 -cyl Engine Code [T] LM7 T,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,TAHOE,5.3L 8 -cyl Engine Code [Z] L59 Z Flex,5W-30 (All TEMPS),6 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,TRACKER,2.5L 6 -cyl Engine Code [4] LE8 D,10W-30 (Above -18),5.8 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,TRAILBLAZER,4.2L 6 -cyl Engine Code [S] LL8 S,10W-30 (Above -18),7 quarts. . . (with filter)After refill check oil level.
2004,Chevrolet Trucks,TRAILBLAZER,5.3L 8 -cyl Engine Code [P] LM4 P,10W-30 (Above -18),6 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,300M,3.5L 6 -cyl Engine Code [G] T,10W-30 (Above -29),5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,300M,3.5L 6 -cyl Engine Code [K] K,10W-30 (Above -29),5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,CONCORDE,2.7L 6 -cyl Engine Code [R] EER 1,10W-30 (Above -29),5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,CONCORDE,3.5L 6 -cyl Engine Code [G] T,10W-30 (Above -29),5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,CONCORDE,3.5L 6 -cyl Engine Code [M] M,10W-30 (Above -29),5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,CROSSFIRE,3.2L 6 -cyl Engine Code [L] N,"0W-40, 5W-40 (All TEMPS)",8.5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,INTREPID,2.7L 6 -cyl Engine Code [R] EER 1,10W-30 (Above -29),5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,INTREPID,3.5L 6 -cyl Engine Code [G] T,10W-30 (Above -29),5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,PACIFICA,3.5L 6 -cyl Engine Code [4] 4,10W-30 (Above -18),5.5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,PT CRUISER,2.4L 4 -cyl Engine Code [8] J Turbo,10W-30 (Above -18),5.1 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,PT CRUISER,2.4L 4 -cyl Engine Code [B] B,10W-30 (Above -18),5.1 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,PT CRUISER,2.4L 4 -cyl Engine Code [G] G Turbo,10W-30 (Above -18),5.1 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,SEBRING,2.4L 4 -cyl Engine Code [G] W,10W-30 (Above -18),4.5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,SEBRING,2.4L 4 -cyl Engine Code [J] ED2 5,10W-30 (Above -29),5 quarts. . . (with filter)After refill check oil level.
2004,Chrysler,SEBRING,2.4L 4 -cyl Engine Code [X] EDZ X,10W-30 (Above -29),5 quarts. . . (with filter)After refill check oil level.
